,timestamp,datetime,pool_price,signal,holder_eth_amount,holder_usdc_amount,lp_eth_amount,lp_usdc_amount,liquidity,fee_eth_amount,fee_usdc_amount,status,trade_num
4391,1641140581.0,2022-01-02 11:23:01,3785.3211225998166,,0.0,0.0,1.3405823105248782,5074.534536613488,6802.831233931603,1.470983275631222e-06,0.0,1,1.0
4392,1641140581.0,2022-01-02 11:23:01,3785.346696246964,,0.0,0.0,1.340577782057655,5074.551678374027,6802.831233931603,0.0,5.1580021681547255e-05,1,1.0
4393,1641140584.0,2022-01-02 11:23:04,3785.30293407473,,0.0,0.0,1.340585531295596,5074.52234499135,6802.831233931603,2.331766682380922e-08,0.0,1,1.0
4394,1641140621.0,2022-01-02 11:23:41,3785.3404806665735,,0.0,0.0,1.34057888268065,5074.5475121378295,6802.831233931603,0.0,7.572862531402715e-05,1,1.0
4395,1641140652.0,2022-01-02 11:24:12,3785.035485995704,,0.0,0.0,1.340632892898039,5074.343073312156,6802.831233931603,1.6251820678782985e-07,0.0,1,1.0
4396,1641140698.0,2022-01-02 11:24:58,3784.994822882572,,0.0,0.0,1.3406400942501056,5074.315816085453,6802.831233931603,2.1669063389499866e-08,0.0,1,1.0
4397,1641140698.0,2022-01-02 11:25:00,3784.994822882572,,0.0,0.0,1.3406400942501056,5074.315816085453,6802.831233931603,0.0,0.0,1,1.0
4398,1641140731.0,2022-01-02 11:25:31,3785.01288621606,,0.0,0.0,1.3406368952572976,5074.3279242855615,6802.831233931603,0.0,3.6433902032321716e-05,1,1.0
4399,1641140820.0,2022-01-02 11:27:00,3784.9718645307103,,0.0,0.0,1.3406441601773347,5074.300426618614,6802.831233931603,2.1860341134730832e-08,0.0,1,1.0
4400,1641140823.0,2022-01-02 11:27:03,3782.238589004428,,0.0,0.0,1.3411284881758014,5072.467920791684,6802.831233931603,1.4573560635910543e-06,0.0,1,1.0
4401,1641140852.0,2022-01-02 11:27:32,3782.2410574840815,,0.0,0.0,1.3411280505319711,5072.469576065608,6802.831233931603,0.0,4.980764062571341e-06,1,1.0
4402,1641140852.0,2022-01-02 11:27:32,3781.816343460197,,0.0,0.0,1.3412033556034033,5072.184770124609,6802.831233931603,2.2659499929437354e-07,0.0,1,1.0
4403,1641140866.0,2022-01-02 11:27:46,3781.6295200431086,,0.0,0.0,1.3412364848533675,5072.059484480346,6802.831233931603,9.968681032368087e-08,0.0,1,1.0
4404,1641140902.0,2022-01-02 11:28:22,3781.5866024440497,,0.0,0.0,1.341244095744302,5072.030703073836,6802.831233931603,2.2901376933920944e-08,0.0,1,1.0
4405,1641140929.0,2022-01-02 11:28:49,3781.231146149634,,0.0,0.0,1.3413071363829088,5071.79232064383,6802.831233931603,1.8969098878690553e-07,0.0,1,1.0
4406,1641140940.0,2022-01-02 11:29:00,3781.1100339421855,,0.0,0.0,1.341328617821676,5071.7110956593415,6802.831233931603,6.463823099435388e-08,0.0,1,1.0
4407,1641140999.0,2022-01-02 11:29:59,3781.2544675270815,,0.0,0.0,1.3413030000336492,5071.807961184713,6802.831233931603,0.0,0.0002914709890828525,1,1.0
4408,1641140999.0,2022-01-02 11:30:00,3781.2544675270815,,0.0,0.0,1.3413030000336492,5071.807961184713,6802.831233931603,0.0,0.0,1,1.0
4409,1641141106.0,2022-01-02 11:31:46,3783.421302262115,,0.0,0.0,1.34091885061541,5073.260944023173,6802.831233931603,0.0,0.00437206470950648,1,1.0
4410,1641141143.0,2022-01-02 11:32:23,3782.394367724976,,0.0,0.0,1.3411008705597085,5072.572379356104,6802.831233931603,5.477029417208471e-07,0.0,1,1.0
4411,1641141143.0,2022-01-02 11:32:23,3783.1669014617937,,0.0,0.0,1.34096393521027,5073.090375741451,6802.831233931603,0.0,0.0015586651514955848,1,1.0
4412,1641141181.0,2022-01-02 11:33:01,3780.452439625932,,0.0,0.0,1.3414452720760905,5071.270051444728,6802.831233931603,1.4483556644549406e-06,0.0,1,1.0
4413,1641141201.0,2022-01-02 11:33:21,3780.560755022376,,0.0,0.0,1.3414260553214064,5071.342700512583,6802.831233931603,0.0,0.00021860301260373855,1,1.0
4414,1641141223.0,2022-01-02 11:33:43,3780.5699517929056,,0.0,0.0,1.3414244237162154,5071.348868902639,6802.831233931603,0.0,1.8560852725549502e-05,1,1.0
4415,1641141238.0,2022-01-02 11:33:58,3781.580971524108,,0.0,0.0,1.3412450943260288,5072.0269268533675,6802.831233931603,0.0,0.0020402947363948156,1,1.0
