,datetime,timestamp,pool_price,LP_previous_eth_amount,LP_previous_usdc_amount,LP_after_eth_amount,LP_after_usdc_amount,eth_fee_collected,usdc_fee_collected,log_return,vol,add,remove,signal
4360,2022-01-02 11:11:32,1641139892.0,3790.504560561688,9.8473110444338,37319.15755902974,9.84637182861077,37322.71732133525,0.0,0.0107114211800621,0.0036195021222535,0.0009686869882998,False,False,
4361,2022-01-02 11:12:18,1641139938.0,3790.8328141914712,9.84637182861077,37322.71732133525,9.84594551367912,37324.333339996105,0.0,0.0048626439143049,0.0036195021222535,0.0009686869882998,False,False,
4362,2022-01-02 11:12:31,1641139951.0,3791.1943687456896,9.84594551367912,37324.333339996105,9.845476013704737,37326.11322077816,0.0,0.0053557094745764,0.0036195021222535,0.0009686869882998,False,False,
4363,2022-01-02 11:13:00,1641139980.0,3791.2071780778606,9.846586252352369,37321.90456486417,9.845459381261133,37326.176277711216,0.0,0.0128536996400603,0.0036195021222535,0.0009686869882998,False,False,
4364,2022-01-02 11:13:00,1641139980.0,3790.339474855856,9.845476013704737,37326.11322077816,9.846586252352369,37321.90456486417,3.340738157368239e-06,0.0,0.0036195021222535,0.0009686869882998,False,False,
4365,2022-01-02 11:13:34,1641140014.0,3789.25169455745,9.846928339589972,37320.6079831491,9.847999480452469,37316.54871930539,3.2230918630730243e-06,0.0,0.0036195021222535,0.0009686869882998,False,False,
4366,2022-01-02 11:13:34,1641140014.0,3790.076122835188,9.845459381261133,37326.176277711216,9.846928339589972,37320.6079831491,4.420135392696351e-06,0.0,0.0036195021222535,0.0009686869882998,False,False,
4367,2022-01-02 11:13:56,1641140036.0,3789.793392735865,9.847999480452469,37316.54871930539,9.84729563812274,37319.21594567426,0.0,0.0080257563757281,0.0036195021222535,0.0009686869882998,False,False,
4368,2022-01-02 11:14:08,1641140048.0,3789.928593967068,9.84729563812274,37319.21594567426,9.847119991229238,37319.88162298444,0.0,0.0020030410536968,0.0036195021222535,0.0009686869882998,False,False,
4369,2022-01-02 11:14:37,1641140077.0,3789.733701558252,9.847129314297144,37319.84628925625,9.8473731890016,37318.92204618052,7.338255901376593e-07,0.0,0.0036195021222535,0.0009686869882998,False,False,
